location,gdp_hr_worked,date,multifactor_prod_agrwth,capital_services_pc_growth,adult_education_pc,avg_wage,trade_union_density,int_trade_pc_gdp,transport_investment_eur,unemployment_pc,r_and_d_spending_pc,flexible_work_pc
CAN,46.186562,2010-01-01,0.917084,2.85231,50.311695,44335.6986478899,30.0574211490728,-26080.5375,16076106842,8.0600004196166992,1.8252799510955799,41.119998931884801
CAN,46.988368,2011-01-01,1.368947,2.9463530000000002,51.033012,45015.6349522645,29.7703645544087,-30760.959,15935591741,7.5100002288818404,1.7871400117874101,40.259998321533203
CAN,46.935103,2012-01-01,-0.379205,3.084237,52.305416,46059.3228474804,29.8027417263561,-35809.662,15800902864,7.28999996185303,1.7723200321197501,38.889999389648402
CAN,47.497005,2013-01-01,0.848822,2.788523,52.971439,46937.3167948156,29.2050790816485,-32019.0703,14097486115,7.0700001716613796,1.70539999008179,40.099998474121101
CAN,48.691981,2014-01-01,2.005867,2.792871,53.61496,47453.004608298,29.262723707621,-16760.0578,NA,6.9099998474121103,1.7141699790954601,42.7700004577637
CAN,48.691981,2014-01-01,2.005867,2.792871,53.61496,47453.004608298,29.262723707621,-16760.0578,NA,6.9099998474121103,1.7141699790954601,42.7700004577637
CAN,48.606719,2015-01-01,-0.306789,1.935958,55.17366,47673.3254254925,29.4427214186404,-4189.5775,6699847729,6.9099998474121103,1.6932400465011599,40.360000610351598
CAN,48.89912,2016-01-01,0.460352,1.281301,56.265068,47370.1955214848,NA,5353.504,6535696104,7,1.7287299633026101,40
CAN,49.756578,2017-01-01,1.649553,1.563241,56.71452,47621.8436526166,NA,-6859.1143,NA,6.3400001525878897,1.6857999563217201,40.900001525878899
DNK,25.065455,1970-01-01,NA,NA,NA,NA,NA,-299.1526,NA,NA,NA,NA
DNK,26.337789,1971-01-01,NA,NA,NA,NA,NA,691.3046,NA,NA,NA,NA
DNK,27.736534,1972-01-01,NA,NA,NA,NA,NA,1591.0017,NA,NA,NA,NA
DNK,29.249447,1973-01-01,NA,NA,NA,NA,NA,-281.8963,NA,0.89999997615814198,NA,NA
DNK,29.436948,1974-01-01,NA,NA,NA,NA,NA,1068.0446,NA,2.0999999046325701,NA,NA
DNK,30.646729,1975-01-01,NA,NA,NA,NA,NA,2099.7324,NA,5.0999999046325701,NA,NA
DNK,31.778901,1976-01-01,NA,NA,NA,NA,NA,-939.2153,NA,5.3000001907348597,NA,NA
DNK,32.956881,1977-01-01,NA,NA,NA,NA,NA,-230.7861,NA,6.4000000953674299,NA,NA
DNK,33.901997,1978-01-01,NA,NA,NA,NA,NA,-117.1055,NA,7.3000001907348597,NA,NA
DNK,35.069114,1979-01-01,NA,NA,NA,NA,NA,1040.9087,NA,6.0999999046325701,NA,NA
DNK,34.798727,1980-01-01,NA,NA,NA,NA,NA,4393.499,NA,7,NA,NA
DNK,35.823053,1981-01-01,NA,NA,14.713799,NA,NA,7036.8697,NA,9.1999998092651403,NA,NA
DNK,36.822802,1982-01-01,NA,NA,NA,NA,NA,7267.5242,NA,10,NA,NA
DNK,37.919869,1983-01-01,NA,NA,NA,NA,NA,8361.6507,NA,9.7399997711181605,NA,28.540000915527301
DNK,39.066148,1984-01-01,NA,NA,NA,NA,NA,8028.249,NA,8.8699998855590803,NA,48.450000762939503
DNK,40.054135,1985-01-01,1.504907,5.459199,NA,NA,NA,7301.7732,NA,7.8000001907348597,NA,41.119998931884801
DNK,40.922524,1986-01-01,1.289986,6.055603,NA,NA,NA,4958.3455,NA,6.0300002098083496,NA,46.590000152587898
DNK,41.753624,1987-01-01,-0.006225,5.798637,NA,NA,NA,7437.9792,NA,6.0900001525878897,NA,41.459999084472699
DNK,42.573008,1988-01-01,0.167947,4.77392,17.505634,NA,NA,9920.511,NA,6.4899997711181596,NA,43.950000762939503
DNK,43.464241,1989-01-01,0.345002,5.313537,NA,NA,NA,10099.9235,NA,8.1499996185302699,NA,45.130001068115199
DNK,44.736122,1990-01-01,1.251062,4.958772,NA,37895.1020365459,NA,12430.5738,NA,8.3400001525878906,NA,39.419998168945298
